,P,Q
312,5.680760383605957,-0.27586206793785095
313,5.680760383605957,-0.0
314,5.680760383605957,-0.27586206793785095
315,5.680760383605957,-0.0
316,5.680760383605957,-0.27586206793785095
317,5.680760383605957,-0.0
318,5.680760383605957,-0.27586206793785095
319,5.680760383605957,-0.0
320,5.680760383605957,-0.27586206793785095
321,5.680760383605957,-0.27586206793785095
322,5.680760383605957,-0.0
323,5.680760383605957,-0.0
324,5.680760383605957,-0.0
325,5.680760383605957,-0.0
326,5.680760383605957,-0.27586206793785095
327,5.680760383605957,-0.0
328,5.680760383605957,-0.27586206793785095
329,5.680760383605957,-0.27586206793785095
330,5.680760383605957,-0.27586206793785095
331,5.680760383605957,-0.27586206793785095
332,5.680760383605957,-0.27586206793785095
333,5.680760383605957,-0.0
334,5.680760383605957,-0.0
335,5.680760383605957,-0.0
336,5.680760383605957,-0.0
337,5.680760383605957,-0.0
338,5.680760383605957,-0.27586206793785095
339,5.680760383605957,-0.0
340,5.680760383605957,-0.0
341,5.680760383605957,-0.0
342,5.680760383605957,-0.27586206793785095
343,5.680760383605957,-0.0
344,5.680760383605957,-0.27586206793785095
345,5.680760383605957,-0.0
346,5.680760383605957,-0.0
347,5.680760383605957,-0.27586206793785095
348,5.680760383605957,-0.27586206793785095
349,5.680760383605957,-0.27586206793785095
350,6.943151473999023,-0.0
351,6.943151473999023,-0.0
352,6.943151473999023,-0.27586206793785095
353,6.31195592880249,-0.27586206793785095
354,6.943151473999023,-0.0
355,6.943151473999023,-0.27586206793785095
356,6.943151473999023,-0.0
357,6.943151473999023,-0.27586206793785095
358,6.31195592880249,-0.5517241358757019
359,6.31195592880249,-0.27586206793785095
360,6.31195592880249,-0.27586206793785095
361,6.943151473999023,-0.27586206793785095
362,6.943151473999023,-0.27586206793785095
363,6.943151473999023,-0.27586206793785095
364,6.943151473999023,-0.27586206793785095
365,6.943151473999023,-0.27586206793785095
366,6.943151473999023,-0.27586206793785095
367,6.943151473999023,-0.0
368,6.943151473999023,-0.0
369,6.943151473999023,-0.0
370,6.943151473999023,-0.0
371,6.943151473999023,-0.27586206793785095
372,6.31195592880249,-0.0
373,6.943151473999023,-0.0
374,6.943151473999023,-0.27586206793785095
375,6.943151473999023,-0.27586206793785095
376,6.943151473999023,-0.0
377,6.31195592880249,-0.27586206793785095
378,6.943151473999023,-0.0
379,6.943151473999023,-0.0
380,6.31195592880249,-0.27586206793785095
381,6.943151473999023,-0.27586206793785095
382,6.943151473999023,-0.27586206793785095
383,6.943151473999023,-0.27586206793785095
384,6.943151473999023,-0.27586206793785095
385,6.943151473999023,-0.0
386,6.943151473999023,-0.0
387,6.943151473999023,-0.27586206793785095
388,6.943151473999023,-0.27586206793785095
389,6.943151473999023,-0.27586206793785095
390,6.943151473999023,-0.0
391,6.943151473999023,-0.0
392,6.943151473999023,-0.27586206793785095
393,6.943151473999023,-0.0
394,6.943151473999023,-0.27586206793785095
395,6.31195592880249,-0.27586206793785095
396,6.943151473999023,-0.27586206793785095
397,6.943151473999023,-0.27586206793785095
398,6.943151473999023,-0.27586206793785095
399,6.943151473999023,-0.27586206793785095
400,7.574347019195557,-0.27586206793785095
401,7.574347019195557,-0.0
402,7.574347019195557,-0.27586206793785095
403,7.574347019195557,-0.0
404,7.574347019195557,-0.27586206793785095
405,7.574347019195557,-0.27586206793785095
406,7.574347019195557,-0.27586206793785095
407,7.574347019195557,-0.27586206793785095
408,7.574347019195557,-0.27586206793785095
409,7.574347019195557,-0.0
410,7.574347019195557,-0.27586206793785095
411,7.574347019195557,-0.0
412,7.574347019195557,-0.27586206793785095
413,7.574347019195557,-0.0
414,7.574347019195557,-0.27586206793785095
415,7.574347019195557,-0.27586206793785095
416,7.574347019195557,-0.27586206793785095
417,7.574347019195557,-0.27586206793785095
418,7.574347019195557,-0.0
419,7.574347019195557,-0.27586206793785095
420,7.574347019195557,-0.27586206793785095
421,7.574347019195557,-0.27586206793785095
422,7.574347019195557,-0.27586206793785095
423,7.574347019195557,-0.27586206793785095
424,7.574347019195557,-0.27586206793785095
425,7.574347019195557,-0.0
426,7.574347019195557,-0.27586206793785095
427,7.574347019195557,-0.27586206793785095
428,7.574347019195557,-0.27586206793785095
429,7.574347019195557,-0.0
430,7.574347019195557,-0.27586206793785095
431,7.574347019195557,-0.27586206793785095
432,7.574347019195557,-0.0
433,7.574347019195557,-0.27586206793785095
434,7.574347019195557,-0.27586206793785095
435,7.574347019195557,-0.0
436,7.574347019195557,-0.0
437,7.574347019195557,-0.27586206793785095
438,7.574347019195557,-0.27586206793785095
439,7.574347019195557,-0.27586206793785095
440,7.574347019195557,-0.0
441,7.574347019195557,-0.27586206793785095
442,7.574347019195557,-0.27586206793785095
443,7.574347019195557,-0.27586206793785095
444,7.574347019195557,-0.27586206793785095
445,7.574347019195557,-0.0
446,7.574347019195557,-0.0
447,7.574347019195557,-0.0
448,7.574347019195557,-0.27586206793785095
449,7.574347019195557,-0.0
450,8.836738586425781,-0.27586206793785095
451,8.836738586425781,-0.27586206793785095
452,8.836738586425781,-0.27586206793785095
453,8.836738586425781,-0.0
454,8.836738586425781,-0.0
455,8.836738586425781,-0.0
456,8.836738586425781,-0.0
457,8.836738586425781,-0.27586206793785095
458,8.836738586425781,-0.0
459,8.836738586425781,-0.0
460,8.836738586425781,-0.27586206793785095
461,8.836738586425781,-0.0
462,7.574347019195557,-0.27586206793785095
463,8.836738586425781,-0.27586206793785095
464,8.836738586425781,-0.0
465,8.836738586425781,-0.27586206793785095
466,8.836738586425781,-0.0
467,8.836738586425781,-0.27586206793785095
468,8.836738586425781,-0.27586206793785095
469,8.836738586425781,-0.27586206793785095
470,8.836738586425781,-0.0
471,8.836738586425781,-0.27586206793785095
472,8.836738586425781,-0.0
473,8.836738586425781,-0.27586206793785095
474,8.836738586425781,-0.27586206793785095
475,8.836738586425781,-0.27586206793785095
476,8.836738586425781,-0.27586206793785095
477,8.836738586425781,-0.27586206793785095
478,8.836738586425781,-0.27586206793785095
479,8.836738586425781,-0.27586206793785095
480,8.836738586425781,-0.27586206793785095
481,8.836738586425781,-0.27586206793785095
482,8.836738586425781,-0.0
483,8.836738586425781,-0.27586206793785095
484,8.836738586425781,-0.0
485,8.836738586425781,-0.27586206793785095
486,8.836738586425781,-0.0
487,8.836738586425781,-0.27586206793785095
488,8.836738586425781,-0.27586206793785095
489,8.836738586425781,-0.0
490,8.836738586425781,-0.27586206793785095
491,8.836738586425781,-0.27586206793785095
492,8.836738586425781,-0.0
493,8.836738586425781,-0.27586206793785095
494,8.836738586425781,-0.0
495,8.836738586425781,-0.27586206793785095
496,8.836738586425781,-0.27586206793785095
497,8.836738586425781,-0.5517241358757019
498,8.836738586425781,-0.0
499,8.836738586425781,-0.27586206793785095
500,10.099129676818848,-0.27586206793785095
501,9.467934608459473,-0.27586206793785095
502,9.467934608459473,-0.0
503,9.467934608459473,-0.27586206793785095
504,9.467934608459473,-0.27586206793785095
505,10.099129676818848,-0.0
506,10.099129676818848,-0.27586206793785095
507,10.099129676818848,-0.27586206793785095
508,10.099129676818848,-0.0
509,10.099129676818848,-0.0
510,10.099129676818848,-0.27586206793785095
511,10.099129676818848,-0.0
512,9.467934608459473,-0.27586206793785095
513,9.467934608459473,-0.27586206793785095
514,9.467934608459473,-0.27586206793785095
515,8.836738586425781,-0.0
516,9.467934608459473,-0.0
517,10.099129676818848,-0.27586206793785095
518,10.099129676818848,-0.27586206793785095
519,10.099129676818848,-0.0
520,10.099129676818848,-0.27586206793785095
521,9.467934608459473,-0.0
522,10.099129676818848,-0.0
523,9.467934608459473,-0.0
524,9.467934608459473,-0.27586206793785095
525,10.099129676818848,-0.0
526,9.467934608459473,-0.0
527,9.467934608459473,-0.27586206793785095
528,10.099129676818848,-0.27586206793785095
529,10.099129676818848,-0.0
530,10.099129676818848,-0.0
531,10.099129676818848,-0.0
532,10.099129676818848,-0.0
533,10.099129676818848,-0.0
534,9.467934608459473,-0.0
535,10.099129676818848,-0.27586206793785095
536,9.467934608459473,-0.0
537,10.099129676818848,-0.27586206793785095
538,9.467934608459473,-0.27586206793785095
539,10.099129676818848,-0.27586206793785095
540,9.467934608459473,-0.0
